id,product,record_kind,category,priority,evidence_level,processing_state,access_class,target_record_family,spatial_scope,temporal_scope,fields_and_units,first_processing_task,known_limitations,supports_questions,upstream_source_ids,access_url,documentation_url,usage_terms,last_evidence_date,production_readiness,selection,user_review,owner,evidence_files
S11,IMD 0.25 degree daily gridded rainfall catalogue,data_product,historical,later,catalogue_or_page_inspected,sample_missing,catalogue_or_unselected,historical_grid,India 0.25-degree grid catalogue; actual grid file not inspected,See documented/observed metadata; retrieval date is not weather validity.,"Daily rainfall; units, calendar, missingness and grid metadata await file inspection",Download a small permitted representative NetCDF subset/file and inspect metadata before analysis.,Earlier catalogue description/year selector differed; establish coverage from the actual file.,Q10 ; Q11 ; Q13,,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_NetCDF.html,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_NetCDF.html,Not established for production redistribution,2026-09-12,not_validated,proposed; no production source selected,pending,,research/evidence/imd_gridded_rainfall_catalog.html ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json
S12,NOAA GFS numerical forecast output,data_product,nwp,later,lead,sample_missing,catalogue_or_unselected,forecast,Global NWP; exact distribution/grid/level not selected,See documented/observed metadata; retrieval date is not weather validity.,Unverified unless specified in documented/observed metadata.,"Select a NOMADS GRIB2 subset with cycle, lead time, parameter, level, grid and accumulation interval.",,Q02 ; Q07 ; Q12 ; Q18,,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,
S13,ERA5 hourly single-level reanalysis,data_product,reanalysis,later,lead,sample_missing,catalogue_or_unselected,reanalysis,ERA5 single-level gridded data; direct file not sampled,See documented/observed metadata; retrieval date is not weather validity.,Unverified unless specified in documented/observed metadata.,"Obtain a permitted CDS subset, preserving request, dataset version, calendar and accumulation semantics.",,Q10 ; Q11 ; Q13,,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels?tab=overview,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels?tab=overview,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,
S14,Ahmedabad district/village boundaries and gazetteer,capability_gap,mapping,first,lead,source_missing,catalogue_or_unselected,geography,Unresolved; do not assume national operational coverage.,See documented/observed metadata; retrieval date is not weather validity.,Unverified unless specified in documented/observed metadata.,"Select versioned authoritative geometry and create an explicit crosswalk between village/district, warning polygon, station and grid.",,Q01 ; Q03 ; Q08 ; Q10 ; Q15,,,,Not established for production redistribution,2026-09-11,not_validated,proposed; no production source selected,pending,,
S15,IMD public warning-map WFS,data_product,warning,first,sample_inspected,sample_ready_for_processing,public_sample_obtained,warning,"Sample AHMADABAD polygon, Obj_id 273; boundary version unknown",11 September 2026 sample with issue/update and five day-labelled warning fields,"Coded hazards/colours, district attributes and MultiPolygon geometry","Verify official code meanings, valid day intervals and polygon validity; test location containment and revisions.","HTTP 200 is not a supported API commitment. ; Auxiliary coordinate fields are unsuitable as a district centroid. ; Obj_id 273 is a source ID, not an established LGD crosswalk.",Q03 ; Q08 ; Q09,,https://reactjs.imd.gov.in/geoserver/wfs?service=WFS&version=1.1.0&request=GetFeature&typename=imd%3Adistrict_warnings_india&srsname=EPSG%3A4326&outputFormat=application%2Fjson&maxFeatures=1&CQL_FILTER=District+ILIKE+%27%25AHM%25%27,https://mausam.imd.gov.in/responsive/districtWiseWarningGIS.php,Production integration and redistribution terms not established in this sample test,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/imd-live-20260911T160337Z/imd-ahmedabad-warning.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/broad-20260911T160113Z/imd-warning-map.response ; research/discovery/evidence/imd-live-20260911T160337Z/manifest.json ; research/discovery/evidence/broad-20260911T160113Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/S15.response ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/payload-checks.json ; research/discovery/evidence/recheck-20260911T185811Z/imd-reference.response ; data/reference/imd-code-namespaces.json ; data/processed/foundation/20260911T194849Z/national-warning-snapshot.json ; data/runtime/blobs/d7501bfb4ae0586e280f15788aceb93ba2b8c42ed57ee4181f4943001b6930a5.bin
S16,IMD Mausamgram public forecast data,data_product,forecast,first,sample_inspected,sample_ready_for_processing,public_sample_obtained,forecast,"Sample grid 23.000 N, 72.500 E; website applies floor-to-0.125-degree transformation",Sample cycle 2026-09-11 00 UTC; 41 positions at 3-hour leads 0–120,"15 arrays: rh, ghi, apcp, gust, tcdc, temp, wdir, wspd, temp_bc and wind at 80/100/120 m; units need verified field dictionary","Parse aligned arrays and string NaN; verify valid-time construction, units, rainfall interval and model lineage against page code/documentation.","Unsnapped-coordinate request returned HTTP 200 with no-data error. ; Model lineage, rainfall accumulation and interface support remain unresolved.",Q02 ; Q05 ; Q07 ; Q18,,https://mausamgram.imd.gov.in/test4_mme.php?lat_gfs=23.000&lon_gfs=72.500&date=2026091100_3hr_0p125,https://mausamgram.imd.gov.in/,Production integration and redistribution terms not established in this sample test,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/imd-grid-20260911T160416Z/imd-mausamgram-grid.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/mausamgram-20260911T160131Z/homepage.response ; research/discovery/evidence/numeric-20260911T160221Z/imd-mausamgram-run.response ; research/discovery/evidence/imd-context-20260911T160450Z/imd-chart-code.response ; research/discovery/evidence/imd-live-20260911T160337Z/imd-mausamgram-3hr.response ; research/discovery/evidence/imd-grid-20260911T160416Z/manifest.json ; research/discovery/evidence/mausamgram-20260911T160131Z/manifest.json ; research/discovery/evidence/numeric-20260911T160221Z/manifest.json ; research/discovery/evidence/imd-context-20260911T160450Z/manifest.json ; research/discovery/evidence/imd-live-20260911T160337Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/imd-run.response ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json
S17,IMD Mausamgram public temperature variants,data_product,forecast,optional,sample_inspected,sample_ready_for_processing,public_sample_obtained,forecast,"Sample grid 23.000 N, 72.500 E",Cycle 2026-09-11 00 UTC; lead 0–120 hours every 3 hours,"temp_bc_realtime, fcsttemp, fcsttemp_bc_p5days plus rtma fields; variants stay distinct","Preserve forecast variant names, time axes and missingness; distinguish RTMA analysis from station observation.",No evidence that one temperature variant is more accurate. ; RTMA-like analysis values are not station observations.,Q02 ; Q07 ; Q17,,https://mausamgram.imd.gov.in/rtbc_proxy.php?lat=23.000&lon=72.500&date=20260911&fcst_ic_utc=00,https://mausamgram.imd.gov.in/,Production integration and redistribution terms not established in this sample test,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/imd-context-20260911T160450Z/imd-temperature-bc.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/imd-context-20260911T160450Z/imd-chart-code.response ; research/discovery/evidence/imd-context-20260911T160450Z/manifest.json
S18,NOAA AWC VAAH METAR dissemination,data_product,observation,first,sample_inspected,sample_ready_for_processing,public_sample_obtained,observation,"VAAH airport station, not the entire Ahmedabad district",Five reports obtained in a requested three-hour window on 11 September,METAR raw and decoded fields; inspect each native unit before conversion,"Normalise observation time and native units; retain raw report, amendments and missing values.",AWC disseminates the report; provider and original issuing station must be distinct.,Q01 ; Q12 ; Q21,S20,https://aviationweather.gov/api/data/metar?ids=VAAH&format=json&hours=3,https://aviationweather.gov/data/api/,Production integration and redistribution terms not established in this sample test,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/broad-20260911T160113Z/awc-metar.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/broad-20260911T160113Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/S18.response ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/payload-checks.json ; data/processed/foundation/20260911T194849Z/aviation-metar.json ; data/runtime/blobs/c22bc6b3d7afb2866bd7793684f7a5086ec4677b10c9285a263e64b687bc7a73.bin
S19,NOAA AWC VAAH TAF dissemination,data_product,forecast,next,sample_inspected,sample_ready_for_processing,public_sample_obtained,forecast,VAAH terminal forecast,One TAF with three forecast segments sampled,TAF raw/decoded forecast segments and change groups,"Preserve issue time, validity, segment intervals and change-group semantics.",Not a complete aviation briefing or district-wide forecast.,Q02 ; Q07 ; Q21,S20,https://aviationweather.gov/api/data/taf?ids=VAAH&format=json,https://aviationweather.gov/data/api/,Production integration and redistribution terms not established in this sample test,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/broad-20260911T160113Z/awc-taf.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/broad-20260911T160113Z/manifest.json ; data/processed/foundation/20260911T194849Z/aviation-taf.json ; data/runtime/blobs/84e7ee7f633c529f9a22857cc4e54a0772330f64c769f8aa3c690cec9b54c26e.bin
S20,NOAA AWC airport station metadata,data_product,mapping,first,sample_inspected,sample_ready_for_processing,public_sample_obtained,geography,"VAAH / WMO 42647, latitude 23.077, longitude 72.635; station elevation 52 m in sample",See documented/observed metadata; retrieval date is not weather validity.,"Station IDs, name, coordinates, elevation",Create the station identity record with source-specific IDs; retain city and district as separate entities.,,Q01 ; Q15 ; Q21,,https://aviationweather.gov/api/data/stationinfo?ids=VAAH&format=json,https://aviationweather.gov/data/api/,Production integration and redistribution terms not established in this sample test,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/broad-20260911T160113Z/awc-station.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/broad-20260911T160113Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/S20.response ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/payload-checks.json ; data/processed/foundation/20260911T194849Z/aviation-stationinfo.json ; data/runtime/blobs/ec46f4110f08e812da0d446a31d431906593b8e441489237b6ec10c94dcb755e.bin
S21,Open-Meteo GFS forecast delivery,data_product,nwp,first,sample_inspected,sample_ready_for_processing,public_sample_obtained,forecast,"Requested city point 23.02579,72.58727; returned grid 23.019852,72.53906","72 hourly records, 11–13 September 2026; Asia/Kolkata",temperature_2m °C; relative_humidity_2m %; precipitation mm; wind_speed_10m km/h,"Preserve requested and returned points, provider/model and intervals; validate precipitation semantics and record absent run identity.",Served GFS and direct GFS are not independent model votes. ; Exact forecast run identity absent in sampled response.,Q02 ; Q07 ; Q18,S12,"https://api.open-meteo.com/v1/gfs?latitude=23.02579&longitude=72.58727&hourly=temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m&forecast_days=3&timezone=Asia%2FKolkata",https://open-meteo.com/en/docs/gfs-api,"Hosted free tier for non-commercial prototyping, subject to limits; data attribution required; review product-specific upstream and commercial terms",2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/numeric-20260911T160221Z/openmeteo-gfs.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/numeric-20260911T160221Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/S21.response ; research/discovery/evidence/recheck-20260911T185811Z/manifest.json ; research/discovery/evidence/recheck-20260911T185811Z/payload-checks.json ; data/processed/foundation/20260911T194849Z/forecast-mumbai.json ; data/runtime/blobs/d5fe3212057abd3d68a677ca6b6372d2799358c091a3c756654214604b4105f4.bin ; data/processed/foundation/20260911T194849Z/forecast-ahmedabad.json ; data/runtime/blobs/ccfb46b4c954cb12be2758e55bb71b9be5733d23ef9f3508a12f47a92556ad72.bin ; data/processed/foundation/20260911T194849Z/forecast-delhi.json ; data/runtime/blobs/6fdb3bde42b3219cc5efd22625a8cfa85c5ece095a95a95067db374401dd40d5.bin ; data/processed/foundation/20260911T194849Z/forecast-srinagar.json ; data/runtime/blobs/d7d1c10dcb00c6db73106382c59541ba6a98cb730adb27b47878797050e80687.bin ; data/processed/foundation/20260911T194849Z/forecast-guwahati.json ; data/runtime/blobs/c26a0903d69bff9b81329b2b22eaacfcd9a22f71107c9e13535d654a3696f277.bin ; data/processed/foundation/20260911T194849Z/forecast-chennai.json ; data/runtime/blobs/9ccf745080071bc3ec3bf5dfe87b45d06a287114444a2059a45cc9d6a280e838.bin
S22,Open-Meteo ERA5 historical delivery,data_product,reanalysis,next,sample_inspected,sample_ready_for_processing,public_sample_obtained,reanalysis,"Returned sample grid 23.0,72.5","Seven local calendar days, 1–7 July 2025, Asia/Kolkata",Daily precipitation sum mm; daily maximum/minimum temperature °C,"Preserve model selection, day timezone, grid and aggregation; do not compare to UTC daily data without harmonisation.",An Open-Meteo sample does not establish direct CDS access or long-period completeness. ; Reanalysis is not an archived pre-event forecast.,Q10 ; Q11 ; Q13,S13,"https://archive-api.open-meteo.com/v1/archive?latitude=23.02579&longitude=72.58727&start_date=2025-07-01&end_date=2025-07-07&daily=precipitation_sum,temperature_2m_max,temperature_2m_min&models=era5&timezone=Asia%2FKolkata",https://open-meteo.com/en/docs/historical-weather-api,"Hosted free tier for non-commercial prototyping, subject to limits; data attribution required; review product-specific upstream and commercial terms",2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/numeric-20260911T160221Z/openmeteo-era5.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/numeric-20260911T160221Z/manifest.json ; data/processed/foundation/20260911T194849Z/history-ahmedabad.json ; data/runtime/blobs/4714bf17589474f1714777338677b9864c0f6dddc79f2e8d6fbb74650a2fff42.bin
S23,NASA POWER daily point delivery,data_product,reanalysis,next,sample_inspected,sample_ready_for_processing,public_sample_obtained,reanalysis,Point request with MERRA2 lineage; representative grid metadata must be preserved,"Seven UTC days, 1–7 July 2025",T2M °C; PRECTOTCORR mm/day; fill value -999,Map -999 to missing with original token retained; preserve UTC day and parameter definitions.,UTC day differs from S22 local day. ; Model-derived point output is not a local rain gauge measurement.,Q10 ; Q11 ; Q13,,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=AG&longitude=72.58727&latitude=23.02579&start=20250701&end=20250707&format=JSON&time-standard=UTC",https://power.larc.nasa.gov/docs/services/api/temporal/daily/,Production integration and redistribution terms not established in this sample test,2026-09-11,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/numeric-20260911T160221Z/nasa-power-daily.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/numeric-20260911T160221Z/manifest.json
S24,Open-Meteo GeoNames place search,data_product,mapping,first,sample_inspected,sample_ready_for_processing,public_sample_obtained,geography,"Three Ahmedabad alternatives in India and Pakistan; place points, not boundaries",See documented/observed metadata; retrieval date is not weather validity.,"GeoNames-linked identity, country/admin labels, coordinates, timezone",Require country/state disambiguation; record selected place separately from station/grid/district.,Place IDs are not official LGD IDs.,Q01 ; Q15,,https://geocoding-api.open-meteo.com/v1/search?name=Ahmedabad&count=3&language=en&format=json,https://open-meteo.com/en/docs/geocoding-api,"Hosted free tier for non-commercial prototyping, subject to limits; data attribution required; review product-specific upstream and commercial terms",2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/broad-20260911T160113Z/openmeteo-geocode.response ; research/discovery/broad-sample-audit.json ; research/discovery/evidence/broad-20260911T160113Z/manifest.json ; data/processed/foundation/20260911T194849Z/place-ahmedabad.json ; data/runtime/blobs/685e84c92f03f83f3973dab54a09b38a0af79c3e459d201603f71b7a2d72eb7a.bin
S25,IMD All India historical rainfall table (supplied CSV),data_product,historical,first,sample_inspected,processed_snapshot,local_file_available,climate_aggregate,All India aggregate; cannot represent Ahmedabad,"1901–2024; 124 annual rows, monthly/seasonal/annual measures",Rainfall mm; 17 measures per year,Completed v1 normalisation and exact source-cell round-trip; expose a structured query adapter and preserve period/geography limits.,"Source numeric comparison passed for 2,108 values; structural consistency is not scientific homogeneity. ; Published totals sometimes differ from monthly sums; preserve both and flag, never silently repair. ; Monthly data cannot support daily dry-spell questions.",Q10 ; Q13,,https://dsp.imdpune.gov.in/home_ogd_rainfall.php,https://dsp.imdpune.gov.in/home_ogd_rainfall.php,Redistribution and product integration terms not established; no licence inferred from public availability.,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/pasted-climate-check/rainfall.csv ; research/discovery/evidence/pasted-climate-check/rainfall-selected.html ; research/discovery/evidence/pasted-climate-check/source-comparison.json ; research/discovery/evidence/pasted-climate-check/audit-results.json ; research/discovery/national-climate-audit.ipynb
S26,IMD All India historical mean temperature table (supplied CSV),data_product,historical,first,sample_inspected,processed_snapshot,local_file_available,climate_aggregate,All India aggregate; cannot represent Ahmedabad,"1901–2024; 124 annual rows, monthly/seasonal/annual measures",Mean temperature °C; 17 measures per year,Completed v1 normalisation and exact source-cell round-trip; expose a structured query adapter and preserve period/geography limits.,"2,108 numeric values matched saved official table. ; Do not sum temperatures or assume an unweighted mean reproduces published annual values. ; No local temperature or heatwave-event history established.",Q10 ; Q13,,https://dsp.imdpune.gov.in/home_ogd_temp.php,https://dsp.imdpune.gov.in/home_ogd_temp.php,Redistribution and product integration terms not established; no licence inferred from public availability.,2026-09-12,not_validated,proposed; no production source selected,pending,,research/discovery/evidence/pasted-climate-check/temperature.csv ; research/discovery/evidence/pasted-climate-check/temperature-selected.html ; research/discovery/evidence/pasted-climate-check/source-comparison.json ; research/discovery/evidence/pasted-climate-check/audit-results.json ; research/discovery/national-climate-audit.ipynb
