source_id,product,record_kind,category,evidence_level,processing_state,conversational_use,next_step
S22,Open-Meteo ERA5 historical delivery,data_product,reanalysis,sample_inspected,sample_ready_for_processing,adapter_exists_not_connected_to_chat,"Add typed product tool, identity/time validation and end-to-end acceptance cases."
S23,NASA POWER daily point delivery,data_product,reanalysis,sample_inspected,sample_ready_for_processing,sample_or_reference_only,Inspect actual product contract and value beyond existing upstreams before building.
S24,Open-Meteo GeoNames place search,data_product,mapping,sample_inspected,sample_ready_for_processing,adapter_exists_not_connected_to_chat,"Add typed product tool, identity/time validation and end-to-end acceptance cases."
S25,IMD All India historical rainfall table (supplied CSV),data_product,historical,sample_inspected,processed_snapshot,connected_to_chat_scoped,Repair fidelity and expand supported operations; preserve source scope.
S26,IMD All India historical mean temperature table (supplied CSV),data_product,historical,sample_inspected,processed_snapshot,connected_to_chat_scoped,Repair fidelity and expand supported operations; preserve source scope.
S27,Supplied district historical rainfall collection (32 CSVs),data_product,historical,sample_inspected,processed_snapshot,connected_to_chat_scoped,Repair fidelity and expand supported operations; preserve source scope.
S28,Indian Astronomical Ephemeris 2026 (supplied PDF),data_product,astronomical_reference,sample_inspected,deferred,deliberately_deferred,Retain rationale; reactivate only for a demonstrated PS need.
S29,ECMWF open forecast subset,catalogue_lead,nwp,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S30,MOSDAC satellite catalogue and download service,catalogue_lead,satellite,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S31,NASA GPM IMERG precipitation products,catalogue_lead,satellite_precipitation,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S32,CWC flood forecasting portal — exact feed pending,catalogue_lead,hydrology,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S33,INCOIS marine services — exact product pending,catalogue_lead,marine,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S34,ICAR-CRIDA district crop contingency plans,catalogue_lead,guidance_catalog,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S35,Local Government Directory catalogue,catalogue_lead,mapping,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S36,Open-Meteo single forecast runs,catalogue_lead,forecast_archive,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S37,Open-Meteo GloFAS river discharge delivery,data_product,hydrology,sample_inspected,sample_ready_for_processing,adapter_exists_not_connected_to_chat,"Add typed product tool, identity/time validation and end-to-end acceptance cases."
S38,BHASHINI speech and translation service catalogue,enabling_service,language_service,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S39,IMD AWS/ARG station data,data_product,observation,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S40,IMD AWS/ARG station mapping,data_product,mapping,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S41,IMD district rainfall monitoring,data_product,rainfall_observation,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S42,IMD basin quantitative precipitation forecast,data_product,hydrology_forecast,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S43,IMD cyclone observed and forecast track,data_product,cyclone_forecast,access_blocked,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S44,IMD cyclone wind warning polygons,data_product,cyclone_warning,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S45,IMD cyclone cone of uncertainty,data_product,cyclone_forecast,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S46,IMD radar image product — index lead,catalogue_lead,radar,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S47,IMD lightning data — index lead,catalogue_lead,lightning,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S48,IMD product-specific codes and definitions,reference,reference,sample_inspected,sample_ready_for_processing,sample_or_reference_only,Inspect actual product contract and value beyond existing upstreams before building.
S49,User-provided field and activity context,capability_gap,context_gap,lead,source_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S50,"Terrain, drainage, exposure and vulnerability inputs",capability_gap,impact_gap,lead,source_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S51,Gujarati/Hindi language and voice evaluation set,capability_gap,evaluation_gap,lead,source_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S52,IMD port warning,data_product,marine_warning,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S53,IMD sea-area bulletin,data_product,marine_warning,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S54,IMD coastal bulletin,data_product,marine_warning,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S55,IMD fishermen warning — index lead,catalogue_lead,marine_warning,catalogue_or_page_inspected,sample_missing,catalogue_lead_gap_or_blocked,Resolve access or specific missing contract; do not count as answer-ready data.
S56,Open-Meteo marine wave delivery,data_product,marine_forecast,sample_inspected,sample_ready_for_processing,adapter_exists_not_connected_to_chat,"Add typed product tool, identity/time validation and end-to-end acceptance cases."
S57,IMD district farmer bulletin delivery (English and local language),data_product,advisory_document,sample_inspected,sample_ready_for_processing,reference_adapter_exists_not_connected_to_chat,Review issue/expiry/geographic/content semantics before context retrieval or dissemination.
S58,RSMC official sea-area bulletin delivery,data_product,marine_bulletin,sample_inspected,sample_ready_for_processing,reference_adapter_exists_not_connected_to_chat,Review issue/expiry/geographic/content semantics before context retrieval or dissemination.
S59,RSMC official coastal bulletin delivery,data_product,marine_bulletin,sample_inspected,sample_ready_for_processing,reference_adapter_exists_not_connected_to_chat,Review issue/expiry/geographic/content semantics before context retrieval or dissemination.
S60,IMD CityWx responsive portal and station-search/data routes,data_product,city_weather,sample_inspected,deferred,deliberately_deferred,Retain rationale; reactivate only for a demonstrated PS need.
S61,GeoNames India downloadable gazetteer and local place index,data_product,mapping,sample_inspected,processed_snapshot,connected_to_chat_scoped,Repair fidelity and expand supported operations; preserve source scope.
